Question,Answer
Mehmet Karaköse kimdir?,"Mehmet Karaköse Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Bilgi ve Bilgi İşleme Bilimleri, Görüntü İşleme, Makine Öğrenme, Yapay Zeka, Bulanık Hesaplama, Yapay Zeka (Diğer), Bilgisayar Yazılımı"
Zülfü Demirtaş kimdir?,"Zülfü Demirtaş Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eğitim, Eğitim Planlaması, Organizasyon ve Yönetim Teorisi"
İbrahim Türkoğlu kimdir?,"İbrahim Türkoğlu Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Pattern Recognition, Bioinformatics, Artificial Intelligence, Embedded Systems"
Rıfat Bilgin kimdir?,"Rıfat Bilgin Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Sosyal Hizmetler (Diğer), Adli Sosyal Bilimler, Aile Sosyolojisi"
İbrahim Yaşar Kazu kimdir?,İbrahim Yaşar Kazu Fırat Üniversite kurumunda Prof. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eğitim
Mediha Kök kimdir?,"Mediha Kök Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Physical Sciences, General Physics, Material Physics, Thermodynamics and Statistical Physics, Condensed Matter Physics"
Fatma Erdoğan kimdir?,"Fatma Erdoğan Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eğitim, Matematik Eğitimi, Özel Yetenekli Eğitimi"
Sezgin Demir kimdir?,Sezgin Demir Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Türkçe Eğitimi
Türker Tuncer kimdir?,Türker Tuncer Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Information and Computing Sciences
Mesut Toğaçar kimdir?,"Mesut Toğaçar Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Derin Öğrenme, Yapay Zeka, Karar Desteği ve Grup Destek Sistemleri, Görüntü İşleme, Bilgi ve Bilgi İşleme Bilimleri"
Sevda Kırbağ kimdir?,"Sevda Kırbağ Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Biological Sciences, Biochemistry and Cell Biology, Industrial Biotechnology, Plant and Fungus Systematics and Taxonomy, Animal Cell and Molecular Biology, Microbiology, Bacteriology, Mycology, Mathematical Sciences"
Fethi Dağdelen kimdir?,"Fethi Dağdelen Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Malzeme Fiziği, Yoğun Madde Fiziği (Diğer)"
Necmi Gökyer kimdir?,Necmi Gökyer Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eğitim
Abdulkadir Özdemir kimdir?,"Abdulkadir Özdemir Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Arkeoloji, Arkeoloji Bilimi, Erken Tunç Çağ Arkeolojisi, Neolitik Çağ Arkeolojisi, Osmanlı Arkeolojisi"
Beyhan Kanter kimdir?,Beyhan Kanter Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Türkiye Sahası Yeni Türk Edebiyatı
Orhan Yaman kimdir?,"Orhan Yaman Fırat Üniversite kurumunda Doç. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Information and Computing Sciences, Image Processing, Pattern Recognition, Video Processing, Algorithms and Calculation Theory, Quantum Computation, Deep Learning, Machine Learning (Other), Computer Forensics, Engineering"
Ebru Korkmaz kimdir?,Ebru Korkmaz Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Matematik Eğitimi
Mustafa İssi kimdir?,Mustafa İssi Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Veteriner Bilimleri
Erhan Önalan kimdir?,Erhan Önalan Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: ​Internal Diseases
Tuncay Yavuz Özdemir kimdir?,"Tuncay Yavuz Özdemir Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Bilgi Güvenliği Yönetimi, Eğitim Yönetimi"
İlhan Aydın kimdir?,İlhan Aydın Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Bilgi ve Bilgi İşleme Bilimleri
Müslim Alanoğlu kimdir?,"Müslim Alanoğlu Fırat Üniversite kurumunda Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Eğitim, Eğitim Yönetimi, Eğitim Politikası"
Tayfun Tutak kimdir?,Tayfun Tutak Fırat Üniversite kurumunda Doç. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Mathematics Education
Erhan Akın kimdir?,Erhan Akın Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Elektrik Makineleri ve Sürücüler
Murat Sunkar kimdir?,"Murat Sunkar Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Doğal Afetler, Hidrografi, Jeoformoloji ve Yüzey Örtü Süreçleri, Fiziki Coğrafya"
Burhan Ergen kimdir?,"Burhan Ergen Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Computer Vision, Image Processing, Pattern Recognition"
İnanç Özgen kimdir?,İnanç Özgen Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Entomoloji
Mehmet Yılmaz kimdir?,Mehmet Yılmaz Fırat Üniversite kurumunda Prof. Dr. derecesinde çalışmaktadır. Çalışma alanı ise şunlardır: Ulaştırma Mühendisliği
